date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:26	76618/76618	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/img_20180513_113512443-1-01319120516924340818.jpeg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/img_20180513_113512443-1-013191205169243408184829.jpg	(from https://ambersway.com/2018/05/13/day-53-ultimate-mothers-day/)
17:41:33	974/974	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/90e77f20c59933967bbdddcb61bc4a3d?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/90e77f20c59933967bbdddcb61bc4a3d5055.png	(from https://ambersway.com/2018/04/03/day-13-the-elephant-and-the-whale/)
17:41:51	75588/75588	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/amberhw-e1526351965813.jpg?w=296&h=300	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/amberhw-e15263519658137271.jpg	(from https://ambersway.com/2018/05/14/day-54-adjusting-well/)
17:42:04	1410/1410	URF---	200	untouched ('OK%20(cached)')	image/png		https://1.gravatar.com/avatar/7a2bd1017d131b7ec9db92c5e1f8ea65?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/1.gravatar.com/avatar/7a2bd1017d131b7ec9db92c5e1f8ea655055.png	(from https://ambersway.com/2018/04/04/day-14-my-super-hero/)
17:42:10	28588/28588	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/amber_sundae-800x640.jpg?w=240&h=300	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/amber_sundae-800x640592b.jpg	(from https://ambersway.com/2018/05/19/day-59-sundae-saturday/)
17:42:13	14633/14633	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/sundae-x800.jpg?w=158&h=210	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/sundae-x800bb87.jpg	(from https://ambersway.com/2018/05/19/day-59-sundae-saturday/)
17:42:35	2250/2250	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/36b873f27f8ec2a7d86437728bbd131d?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/36b873f27f8ec2a7d86437728bbd131d5055.png	(from https://ambersway.com/2018/04/05/day-15-elephant-steaks/)
17:42:48	43599/43599	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/mugsley-4in.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/mugsley-4in4829.jpg	(from https://ambersway.com/2018/05/24/day-64-vitamin-d-and-puppy-love/)
17:43:00	502117/502117	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/amberwish-clearer.png?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/amberwish-clearer4829.png	(from https://ambersway.com/2018/05/25/day-65-ambers-selfless-wish/)
17:43:04	183290/183290	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/danceflowers.png?w=420&h=246	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/danceflowersa33b.png	(from https://ambersway.com/2018/05/27/day-67-dance-recital/)
